"Country or Area","Year","Value"
"Belarus","2014","62608.7743950159"
"Belarus","2013","63237.299781199"
"Belarus","2012","62674.2209256209"
"Belarus","2011","61628.9206384737"
"Belarus","2010","62774.8378503578"
"Belarus","2009","61044.5789239176"
"Belarus","2008","65439.2532864387"
"Belarus","2007","63302.9259398489"
"Belarus","2006","63934.0852336969"
"Belarus","2005","61126.616425179"
"Belarus","2004","59800.5562257538"
"Belarus","2003","56105.0322309298"
"Belarus","2002","54583.3881383248"
"Belarus","2001","54770.3708791884"
"Belarus","2000","54706.2379011791"
"Belarus","1999","54902.2707086505"
"Belarus","1998","57396.4256184251"
"Belarus","1997","58919.6379600387"
"Belarus","1996","58376.6323874059"
"Belarus","1995","57507.9558653466"
"Belarus","1994","62505.113296854"
"Belarus","1993","76555.0410352434"
"Belarus","1992","88858.7804845012"
"Belarus","1991","96780.4349560862"
"Belarus","1990","103757.548838802"
"Belgium","2019","99745.7818297321"
"Belgium","2018","100227.168874225"
"Belgium","2017","99448.1352967985"
"Belgium","2016","99872.1383768293"
"Belgium","2015","101055.513937756"
"Belgium","2014","96867.6922635435"
"Belgium","2013","102652.45475436"
"Belgium","2012","102385.919958278"
"Belgium","2011","105025.678360178"
"Belgium","2010","114543.696724006"
"Belgium","2009","107711.767068392"
"Belgium","2008","120181.246234048"
"Belgium","2007","120479.545133152"
"Belgium","2006","123883.988301171"
"Belgium","2005","125640.800603584"
"Belgium","2004","128780.768065051"
"Belgium","2003","128250.338556029"
"Belgium","2002","126864.527770671"
"Belgium","2001","126065.432964852"
"Belgium","2000","126720.241443175"
"Belgium","1999","124700.660979104"
"Belgium","1998","130209.028925644"
"Belgium","1997","123983.480523928"
"Belgium","1996","129480.002888906"
"Belgium","1995","125941.718360094"
"Belgium","1994","124807.755694424"
"Belgium","1993","121438.780067012"
"Belgium","1992","122504.884141796"
"Belgium","1991","123378.418115519"
"Belgium","1990","120307.910684726"
"Bulgaria","2019","42222.5191984892"
"Bulgaria","2018","43637.5289520427"
"Bulgaria","2017","47582.2940289078"
"Bulgaria","2016","45502.3979931879"
"Bulgaria","2015","48275.6192649028"
"Bulgaria","2014","45216.884852715"
"Bulgaria","2013","42680.4292557913"
"Bulgaria","2012","48340.6767147347"
"Bulgaria","2011","53176.4245020004"
"Bulgaria","2010","47860.7457614549"
"Bulgaria","2009","45814.6983522266"
"Bulgaria","2008","54079.0633075219"
"Bulgaria","2007","55740.359447386"
"Bulgaria","2006","51894.2373751694"
"Bulgaria","2005","50656.2866203887"
"Bulgaria","2004","49585.1206890645"
"Bulgaria","2003","50533.4388991788"
"Bulgaria","2002","46156.4207742657"
"Bulgaria","2001","48981.9243026523"
"Bulgaria","2000","45465.6871616351"
"Bulgaria","1999","46380.1434041286"
"Bulgaria","1998","53174.8812404288"
"Bulgaria","1997","55856.0504313263"
"Bulgaria","1996","58500.87026389"
"Bulgaria","1995","57950.3261487967"
"Bulgaria","1994","56403.9448304566"
"Bulgaria","1993","58425.942812613"
"Bulgaria","1992","57365.1933722446"
"Bulgaria","1991","61517.2844560446"
"Bulgaria","1990","76698.6981537156"
"Canada","2019","582389.608113422"
"Canada","2018","579470.372060612"
"Canada","2017","569360.436206197"
"Canada","2016","559566.962305903"
"Canada","2015","573061.375919711"
"Canada","2014","570563.416549624"
"Canada","2013","573698.736563139"
"Canada","2012","569262.731407013"
"Canada","2011","569870.197812551"
"Canada","2010","558804.007434665"
"Canada","2009","546610.440862221"
"Canada","2008","579367.139302809"
"Canada","2007","594665.366373437"
"Canada","2006","571409.763408417"
"Canada","2005","575852.410824041"
"Canada","2004","580758.768716514"
"Canada","2003","582343.585599117"
"Canada","2002","564669.17361946"
"Canada","2001","559042.164780204"
"Canada","2000","566552.294041006"
"Canada","1999","543729.998534308"
"Canada","1998","528987.103878768"
"Canada","1997","521278.446422255"
"Canada","1996","506999.620254606"
"Canada","1995","490951.380162472"
"Canada","1994","478267.070511384"
"Canada","1993","463993.303356412"
"Canada","1992","463521.03749534"
"Canada","1991","449699.173210644"
"Canada","1990","458007.407727686"
"Croatia","2019","17778.8377398237"
"Croatia","2018","17698.2150886408"
"Croatia","2017","18718.0632053505"
"Croatia","2016","18083.0569063469"
"Croatia","2015","17817.2332719079"
"Croatia","2014","17682.2155666616"
"Croatia","2013","18435.6266835497"
"Croatia","2012","19088.5438552271"
"Croatia","2011","20651.9882283057"
"Croatia","2010","21019.2010852896"
"Croatia","2009","21808.5487791021"
"Croatia","2008","23598.6687135908"
"Croatia","2007","24866.3425278995"
"Croatia","2006","23554.1576701885"
"Croatia","2005","23345.5437941694"
"Croatia","2004","22891.5470270494"
"Croatia","2003","23214.3143626255"
"Croatia","2002","21887.7579454501"
"Croatia","2001","20783.2493354258"
"Croatia","2000","19660.5650079768"
"Croatia","1999","20022.9503076807"
"Croatia","1998","19011.8504569682"
"Croatia","1997","18557.19812851"
"Croatia","1996","17344.0059899856"
"Croatia","1995","16816.4489149797"
"Croatia","1994","16052.776578374"
"Croatia","1993","16807.9785667786"
"Croatia","1992","16371.4315012433"
"Croatia","1991","16986.189480382"
"Croatia","1990","22977.7257232795"
"Cyprus","2019","7339.88216064505"
"Cyprus","2018","7340.34589940829"
"Cyprus","2017","7523.10406403311"
"Cyprus","2016","7373.01754154247"
"Cyprus","2015","6970.37137276364"
"Cyprus","2014","6949.65901752949"
"Cyprus","2013","6581.49527906479"
"Cyprus","2012","7261.68565272838"
"Cyprus","2011","7786.00855610243"
"Cyprus","2010","8099.60376924184"
"Cyprus","2009","8468.57329903937"
"Cyprus","2008","8714.14115760693"
"Cyprus","2007","8501.64032545974"
"Cyprus","2006","8182.56057470232"
"Cyprus","2005","7954.99423860841"
"Cyprus","2004","7800.74504229513"
"Cyprus","2003","7574.15812003774"
"Cyprus","2002","7183.61885471595"
"Cyprus","2001","6994.27573250568"
"Cyprus","2000","7120.33032252647"
"Cyprus","1999","6873.94986513507"
"Cyprus","1998","6607.26581843244"
"Cyprus","1997","6310.21442754616"
"Cyprus","1996","6222.41946783432"
"Cyprus","1995","5872.25411076161"
"Cyprus","1994","6000.64903423318"
"Cyprus","1993","5759.25832594282"
"Cyprus","1992","5515.86283213514"
"Cyprus","1991","5141.17978976241"
"Cyprus","1990","4651.68041000773"
"Czechia","2019","100812.344554473"
"Czechia","2018","106131.600126104"
"Czechia","2017","107612.791399727"
"Czechia","2016","106685.440692085"
"Czechia","2015","104864.604699162"
"Czechia","2014","104094.900039415"
"Czechia","2013","106525.802492314"
"Czechia","2012","111289.362330645"
"Czechia","2011","115167.623969753"
"Czechia","2010","117603.433264202"
"Czechia","2009","115238.793210887"
"Czechia","2008","122995.054539998"
"Czechia","2007","128307.199611308"
"Czechia","2006","126493.457659892"
"Czechia","2005","125678.621102171"
"Czechia","2004","128169.218712094"
"Czechia","2003","127413.414110615"
"Czechia","2002","123940.088344309"
"Czechia","2001","127024.288224739"
"Czechia","2000","127127.422755645"
"Czechia","1999","116614.326531647"
"Czechia","1998","125308.96919099"
"Czechia","1997","130725.010267832"
"Czechia","1996","134954.555804864"
"Czechia","1995","131600.512400725"
"Czechia","1994","132370.350795109"
"Czechia","1993","138634.268610177"
"Czechia","1992","144616.941856306"
"Czechia","1991","148892.387001853"
"Czechia","1990","164202.709688"
"Denmark","2019","32540.4996844821"
"Denmark","2018","36266.9342623083"
"Denmark","2017","36235.1711737013"
"Denmark","2016","38324.6514888306"
"Denmark","2015","36517.2475956572"
"Denmark","2014","38883.7266478069"
"Denmark","2013","43096.5870766694"
"Denmark","2012","41235.6440784108"
"Denmark","2011","45671.1519095449"
"Denmark","2010","50697.4203505299"
"Denmark","2009","50180.8814519714"
"Denmark","2008","52638.1432130989"
"Denmark","2007","56116.5641726727"
"Denmark","2006","60871.4488414371"
"Denmark","2005","52944.2915998962"
"Denmark","2004","56511.3535461053"
"Denmark","2003","62069.7534482975"
"Denmark","2002","56907.2580409444"
"Denmark","2001","57337.8815862799"
"Denmark","2000","55626.0081428153"
"Denmark","1999","59860.0415366647"
"Denmark","1998","62416.5560164885"
"Denmark","1997","66625.7211892125"
"Denmark","1996","76009.9013235677"
"Denmark","1995","62677.3761864862"
"Denmark","1994","65719.6032374201"
"Denmark","1993","61701.2542419693"
"Denmark","1992","59615.2145101724"
"Denmark","1991","65448.5013503957"
"Denmark","1990","54867.2834594035"
"Estonia","2019","12380.3170249403"
"Estonia","2018","17944.5203929442"
"Estonia","2017","18788.4898643072"
"Estonia","2016","17567.3183604881"
"Estonia","2015","15859.4148496384"
"Estonia","2014","18885.2413061819"
"Estonia","2013","19737.8573947241"
"Estonia","2012","17846.305127459"
"Estonia","2011","19090.9039846313"
"Estonia","2010","18995.2514985771"
"Estonia","2009","14488.9449831784"
"Estonia","2008","17875.3864034138"
"Estonia","2007","20021.7491904734"
"Estonia","2006","16502.3357369321"
"Estonia","2005","17156.1541168956"
"Estonia","2004","17367.8348104765"
"Estonia","2003","17234.6933853581"
"Estonia","2002","15348.8931121371"
"Estonia","2001","15866.3321541337"
"Estonia","2000","15485.1870911168"
"Estonia","1999","15911.6936127471"
"Estonia","1998","16916.9076892088"
"Estonia","1997","18645.0526205871"
"Estonia","1996","19134.4823115643"
"Estonia","1995","18212.9498626628"
"Estonia","1994","20036.4245392528"
"Estonia","1993","19403.6768044426"
"Estonia","1992","24355.2588433542"
"Estonia","1991","33823.3250304072"
"Estonia","1990","37649.839242139"
"European Union","2019","3288082.1122577"
"European Union","2018","3438423.9293877"
"European Union","2017","3517833.23665643"
"European Union","2016","3505616.48851785"
"European Union","2015","3521835.20042268"
"European Union","2014","3484463.1598943"
"European Union","2013","3659309.07291808"
"European Union","2012","3750325.31424482"
"European Union","2011","3805996.64312734"
"European Union","2010","3947306.28588263"
"European Union","2009","3827875.37111876"
"European Union","2008","4171588.07111057"
"European Union","2007","4271310.21303795"
"European Union","2006","4321276.561941"
"European Union","2005","4313812.34303305"
"European Union","2004","4337127.69314105"
"European Union","2003","4324283.86902858"
"European Union","2002","4228055.65921707"
"European Union","2001","4243231.68462668"
"European Union","2000","4176879.51003193"
"European Union","1999","4158823.47460196"
"European Union","1998","4221162.27529573"
"European Union","1997","4223649.87555924"
"European Union","1996","4316004.38815949"
"European Union","1995","4209475.02204381"
"European Union","1994","4170536.32648253"
"European Union","1993","4198906.4781367"
"European Union","1992","4283182.05447334"
"European Union","1991","4421858.45942529"
"European Union","1990","4485268.82703756"
"Finland","2019","42546.0422948966"
"Finland","2018","45848.9817346827"
"Finland","2017","44652.0562461409"
"Finland","2016","47229.2135530682"
"Finland","2015","44126.3331945237"
"Finland","2014","47644.6712583607"
"Finland","2013","51728.1131222923"
"Finland","2012","51229.3417780907"
"Finland","2011","56666.6494522404"
"Finland","2010","64103.3984266356"
"Finland","2009","55936.5211238781"
"Finland","2008","58616.6194294201"
"Finland","2007","66765.4023152172"
"Finland","2006","68389.1474642571"
"Finland","2005","57047.2629241203"
"Finland","2004","68960.7075972691"
"Finland","2003","72657.79620628"
"Finland","2002","65059.822590341"
"Finland","2001","62536.1322666187"
"Finland","2000","57038.1978715761"
"Finland","1999","58891.935160879"
"Finland","1998","59369.6034731243"
"Finland","1997","62719.2134920393"
"Finland","1996","64056.5289360885"
"Finland","1995","58139.9832790716"
"Finland","1994","61711.0424160394"
"Finland","1993","56348.1543921308"
"Finland","1992","54284.4026461443"
"Finland","1991","55230.4040849182"
"Finland","1990","56968.379551446"
"France","2019","332503.415861621"
"France","2018","338989.748440515"
"France","2017","353366.940647642"
"France","2016","350066.71619229"
"France","2015","345684.686168156"
"France","2014","341529.472167"
"France","2013","372345.295547874"
"France","2012","370713.993934223"
"France","2011","368643.094101767"
"France","2010","391248.699890467"
"France","2009","382594.524126831"
"France","2008","401487.601596755"
"France","2007","408920.466685635"
"France","2006","418929.213191405"
"France","2005","428636.87243406"
"France","2004","425626.945183172"
"France","2003","424006.486662137"
"France","2002","417929.096058014"
"France","2001","422024.607886291"
"France","2000","416850.081343388"
"France","1999","422082.341633384"
"France","1998","424187.158457266"
"France","1997","405047.429495347"
"France","1996","411902.611221869"
"France","1995","395370.786677129"
"France","1994","389918.315583934"
"France","1993","396287.214547986"
"France","1992","415122.417794562"
"France","1991","424882.230588788"
"France","1990","400186.174350369"
"Germany","2019","711427.808697288"
"Germany","2018","754111.6065139"
"Germany","2017","785882.91836423"
"Germany","2016","800686.632013299"
"Germany","2015","795610.214647548"
"Germany","2014","792587.770320466"
"Germany","2013","831453.838056216"
"Germany","2012","813984.6544854"
"Germany","2011","809216.91909077"
"Germany","2010","832949.107789774"
"Germany","2009","790294.718935573"
"Germany","2008","854927.145473203"
"Germany","2007","851624.328733396"
"Germany","2006","878320.430331486"
"Germany","2005","866697.224165755"
"Germany","2004","887089.127305935"
"Germany","2003","901151.90266581"
"Germany","2002","899971.398789039"
"Germany","2001","916648.522102253"
"Germany","2000","899852.056386757"
"Germany","1999","895874.333670234"
"Germany","1998","923356.691070842"
"Germany","1997","931324.200779687"
"Germany","1996","959151.308051836"
"Germany","1995","938968.408151389"
"Germany","1994","939814.629400601"
"Germany","1993","956132.115703973"
"Germany","1992","965893.261777347"
"Germany","1991","1014224.52088192"
"Germany","1990","1052476.83486974"
"Greece","2019","65735.9231900982"
"Greece","2018","71807.5467664663"
"Greece","2017","74855.0814671027"
"Greece","2016","71372.7439084769"
"Greece","2015","74961.0857927659"
"Greece","2014","78662.1080240759"
"Greece","2013","81736.128603325"
"Greece","2012","91430.5484075176"
"Greece","2011","94549.5662018435"
"Greece","2010","97361.4266173485"
"Greece","2009","104354.752916408"
"Greece","2008","111125.241614693"
"Greece","2007","114592.335161648"
"Greece","2006","112472.437506665"
"Greece","2005","113930.966895994"
"Greece","2004","109546.749153552"
"Greece","2003","109089.753810943"
"Greece","2002","105020.956638142"
"Greece","2001","105385.700419808"
"Greece","2000","102999.025886454"
"Greece","1999","97958.3784914008"
"Greece","1998","98641.499372073"
"Greece","1997","93820.9323821188"
"Greece","1996","89132.0077404819"
"Greece","1995","86979.0976940621"
"Greece","1994","86442.1768338889"
"Greece","1993","84296.3663014509"
"Greece","1992","84982.7106282307"
"Greece","1991","83401.1206733625"
"Greece","1990","83425.5517856897"
"Hungary","2019","49079.7124877549"
"Hungary","2018","49407.9530223248"
"Hungary","2017","49452.2577372669"
"Hungary","2016","47072.0064166114"
"Hungary","2015","46614.8196718603"
"Hungary","2014","43678.1225712208"
"Hungary","2013","43590.2139341604"
"Hungary","2012","46757.5053879052"
"Hungary","2011","50191.3419303359"
"Hungary","2010","52068.8041761611"
"Hungary","2009","51470.6562842135"
"Hungary","2008","57248.0807432846"
"Hungary","2007","58553.641165862"
"Hungary","2006","59641.5744514103"
"Hungary","2005","60277.8217391888"
"Hungary","2004","60132.0850434268"
"Hungary","2003","61756.1388938726"
"Hungary","2002","59004.668193856"
"Hungary","2001","59968.1722087987"
"Hungary","2000","58365.1104756304"
"Hungary","1999","61663.7042799744"
"Hungary","1998","61163.6284497335"
"Hungary","1997","61623.5215800735"
"Hungary","1996","63024.7447309144"
"Hungary","1995","61391.2766299383"
"Hungary","1994","61786.5183484392"
"Hungary","1993","63389.2376665402"
"Hungary","1992","62084.7982762261"
"Hungary","1991","69656.2143747263"
"Hungary","1990","73225.4997204562"
"Iceland","2019","3550.74733703233"
"Iceland","2018","3663.37743165135"
"Iceland","2017","3604.88599059493"
"Iceland","2016","3487.42271124397"
"Iceland","2015","3536.21992094629"
"Iceland","2014","3459.26018211921"
"Iceland","2013","3482.72618774802"
"Iceland","2012","3496.82876657739"
"Iceland","2011","3501.31372867673"
"Iceland","2010","3624.64667474542"
"Iceland","2009","3727.67922822755"
"Iceland","2008","3811.44873200868"
"Iceland","2007","3496.09019571131"
"Iceland","2006","3152.91375755655"
"Iceland","2005","2976.35582848153"
"Iceland","2004","3109.11434365665"
"Iceland","2003","2984.89782874386"
"Iceland","2002","2991.28277279122"
"Iceland","2001","2863.4259256058"
"Iceland","2000","2932.13145527641"
"Iceland","1999","2840.38669173404"
"Iceland","1998","2637.55409383274"
"Iceland","1997","2618.53066272976"
"Iceland","1996","2522.57602603224"
"Iceland","1995","2467.10019712764"
"Iceland","1994","2364.68997659414"
"Iceland","1993","2411.25788594701"
"Iceland","1992","2254.9629544858"
"Iceland","1991","2106.05110290948"
"Iceland","1990","2228.4246245552"
"Ireland","2019","37275.3185749905"
"Ireland","2018","39195.1548283329"
"Ireland","2017","39133.4211092271"
"Ireland","2016","40155.7991011144"
"Ireland","2015","38687.7722148679"
"Ireland","2014","36909.0120234748"
"Ireland","2013","37291.7632241462"
"Ireland","2012","38241.9749009886"
"Ireland","2011","38097.2986245541"
"Ireland","2010","41793.9145547768"
"Ireland","2009","42180.3191244976"
"Ireland","2008","47366.6736774999"
"Ireland","2007","47663.7266021565"
"Ireland","2006","47603.9788254325"
"Ireland","2005","48155.7970228746"
"Ireland","2004","46165.8411224707"
"Ireland","2003","45683.1848488228"
"Ireland","2002","46080.8004018749"
"Ireland","2001","47606.8273821266"
"Ireland","2000","45248.5086226706"
"Ireland","1999","42439.518319339"
"Ireland","1998","40708.288352058"
"Ireland","1997","38804.2789966282"
"Ireland","1996","37468.5127138177"
"Ireland","1995","35852.2026621481"
"Ireland","1994","34837.6542272467"
"Ireland","1993","33715.5714856483"
"Ireland","1992","33494.4983948318"
"Ireland","1991","33673.4943963972"
"Ireland","1990","32943.6036384418"
"Italy","2019","339772.170820425"
"Italy","2018","349020.446013935"
"Italy","2017","352849.91231286"
"Italy","2016","358060.743360938"
"Italy","2015","361302.482212766"
"Italy","2014","349581.754929924"
"Italy","2013","369834.336541813"
"Italy","2012","403447.213941315"
"Italy","2011","424277.526969285"
"Italy","2010","436153.682905512"
"Italy","2009","424738.933747538"
"Italy","2008","478902.802497124"
"Italy","2007","490602.557241671"
"Italy","2006","496891.876588981"
"Italy","2005","502259.537159803"
"Italy","2004","501567.831982306"
"Italy","2003","495964.764609873"
"Italy","2002","478005.095756669"
"Italy","2001","470575.948026121"
"Italy","2000","470493.152000379"
"Italy","1999","466424.825744753"
"Italy","1998","461945.882898833"
"Italy","1997","449754.082880546"
"Italy","1996","444029.279577354"
"Italy","1995","449826.01146268"
"Italy","1994","425796.749741301"
"Italy","1993","431604.726946715"
"Italy","1992","439315.217957063"
"Italy","1991","439094.030698886"
"Italy","1990","439549.774746095"
"Japan","2019","1105881.13611215"
"Japan","2018","1143457.87648607"
"Japan","2017","1188122.84152354"
"Japan","2016","1203717.88013012"
"Japan","2015","1223396.44487448"
"Japan","2014","1263728.75926146"
"Japan","2013","1315342.65758685"
"Japan","2012","1306009.84151206"
"Japan","2011","1264866.09915592"
"Japan","2010","1214816.23289332"
"Japan","2009","1163212.93107221"
"Japan","2008","1232313.73017308"
"Japan","2007","1303134.17651529"
"Japan","2006","1267361.87431356"
"Japan","2005","1290371.06098414"
"Japan","2004","1282861.60093958"
"Japan","2003","1287467.74571481"
"Japan","2002","1279120.14057744"
"Japan","2001","1249766.26695434"
"Japan","2000","1264374.6417053"
"Japan","1999","1241611.49244654"
"Japan","1998","1204993.48165428"
"Japan","1997","1244781.17315226"
"Japan","1996","1251530.8532292"
"Japan","1995","1239619.83225281"
"Japan","1994","1227273.01238737"
"Japan","1993","1172339.47052348"
"Japan","1992","1179396.06422647"
"Japan","1991","1169691.85505296"
"Japan","1990","1158007.40691287"
"Latvia","2019","7648.18371582691"
"Latvia","2018","7859.36167903608"
"Latvia","2017","7214.94460483699"
"Latvia","2016","7210.3248998207"
"Latvia","2015","7262.10278975686"
"Latvia","2014","7171.94091968303"
"Latvia","2013","7368.41711373978"
"Latvia","2012","7519.38809087257"
"Latvia","2011","7810.74880745956"
"Latvia","2010","8554.20471467223"
"Latvia","2009","7456.11835754801"
"Latvia","2008","8197.98395284083"
"Latvia","2007","8637.22026697847"
"Latvia","2006","8309.95126960996"
"Latvia","2005","7810.57172474133"
"Latvia","2004","7730.96875238311"
"Latvia","2003","7725.89118904199"
"Latvia","2002","7520.24020332333"
"Latvia","2001","7496.31951546244"
"Latvia","2000","7081.45844349214"
"Latvia","1999","7717.69759382744"
"Latvia","1998","8305.86632491423"
"Latvia","1997","8679.75723495398"
"Latvia","1996","9211.47750762733"
"Latvia","1995","9133.77240136629"
"Latvia","1994","10370.0092383701"
"Latvia","1993","11921.5063057245"
"Latvia","1992","14193.3846781105"
"Latvia","1991","17919.4042056084"
"Latvia","1990","19661.4188822072"
"Liechtenstein","2019","148.400305736546"
"Liechtenstein","2018","142.307067912477"
"Liechtenstein","2017","155.279211103825"
"Liechtenstein","2016","149.546696712596"
"Liechtenstein","2015","159.620815734063"
"Liechtenstein","2014","161.176393770961"
"Liechtenstein","2013","192.495343934938"
"Liechtenstein","2012","185.270979178736"
"Liechtenstein","2011","176.73699494219"
"Liechtenstein","2010","190.782345518151"
"Liechtenstein","2009","205.330990314681"
"Liechtenstein","2008","219.474419559938"
"Liechtenstein","2007","200.737948573823"
"Liechtenstein","2006","231.074908074437"
"Liechtenstein","2005","228.952821572831"
"Liechtenstein","2004","229.37164154268"
"Liechtenstein","2003","229.339637672686"
"Liechtenstein","2002","220.007616756463"
"Liechtenstein","2001","214.660003292112"
"Liechtenstein","2000","216.849183969733"
"Liechtenstein","1999","226.555350514791"
"Liechtenstein","1998","229.22752807548"
"Liechtenstein","1997","218.366269028352"
"Liechtenstein","1996","205.958796841394"
"Liechtenstein","1995","204.19997612085"
"Liechtenstein","1994","201.109449948782"
"Liechtenstein","1993","215.03232796014"
"Liechtenstein","1992","206.948071672218"
"Liechtenstein","1991","206.326470539648"
"Liechtenstein","1990","198.967925612674"
"Lithuania","2019","13923.0950371299"
"Lithuania","2018","13696.2275244625"
"Lithuania","2017","13571.8321393675"
"Lithuania","2016","13351.101542674"
"Lithuania","2015","13319.4901525843"
"Lithuania","2014","13106.6910686813"
"Lithuania","2013","13354.8442569603"
"Lithuania","2012","14345.2978275277"
"Lithuania","2011","14292.8049015665"
"Lithuania","2010","13945.0894786651"
"Lithuania","2009","13042.298162888"
"Lithuania","2008","15202.5005641707"
"Lithuania","2007","15824.052744966"
"Lithuania","2006","14434.0789682019"
"Lithuania","2005","14117.4118996386"
"Lithuania","2004","13287.304744842"
"Lithuania","2003","12692.5986454984"
"Lithuania","2002","12699.1589663835"
"Lithuania","2001","12627.0727599461"
"Lithuania","2000","11876.4004310189"
"Lithuania","1999","13482.9748101695"
"Lithuania","1998","16030.5781290975"
"Lithuania","1997","15196.3491032049"
"Lithuania","1996","15773.4440127402"
"Lithuania","1995","15091.5539987791"
"Lithuania","1994","15801.1438602545"
"Lithuania","1993","16353.7459250779"
"Lithuania","1992","21201.4570423248"
"Lithuania","1991","37849.996891879"
"Lithuania","1990","35767.7339597809"
"Luxembourg","2019","9752.15994936606"
"Luxembourg","2018","9568.44006391108"
"Luxembourg","2017","9261.34396939719"
"Luxembourg","2016","9092.74139479377"
"Luxembourg","2015","9347.98896996906"
"Luxembourg","2014","9836.04488939383"
"Luxembourg","2013","10320.5707752206"
"Luxembourg","2012","10866.2007604746"
"Luxembourg","2011","11102.3828212609"
"Luxembourg","2010","11207.2504800116"
"Luxembourg","2009","10638.3382675241"
"Luxembourg","2008","11183.6876745064"
"Luxembourg","2007","11316.964758705"
"Luxembourg","2006","11919.7543564236"
"Luxembourg","2005","12087.022468613"
"Luxembourg","2004","11828.9095171257"
"Luxembourg","2003","10458.9164045923"
"Luxembourg","2002","9983.58088566332"
"Luxembourg","2001","9207.44854051232"
"Luxembourg","2000","8709.91734442026"
"Luxembourg","1999","8127.84515178594"
"Luxembourg","1998","7675.9304856675"
"Luxembourg","1997","8553.96203132569"
"Luxembourg","1996","9201.607663773"
"Luxembourg","1995","9151.71393842064"
"Luxembourg","1994","11542.4584533482"
"Luxembourg","1993","12354.7430680619"
"Luxembourg","1992","12209.7044184757"
"Luxembourg","1991","12443.13853711"
"Luxembourg","1990","11823.3378430551"
"Malta","2019","1669.14529679386"
"Malta","2018","1538.31813251375"
"Malta","2017","1559.42690198543"
"Malta","2016","1405.39465279635"
"Malta","2015","1740.9858484592"
"Malta","2014","2448.39542389716"
"Malta","2013","2444.29664336058"
"Malta","2012","2760.50407564475"
"Malta","2011","2576.83603001408"
"Malta","2010","2579.52187140669"
"Malta","2009","2532.56842377362"
"Malta","2008","2747.13215957136"
"Malta","2007","2738.39916402234"
"Malta","2006","2665.94446943937"
"Malta","2005","2654.25577102174"
"Malta","2004","2846.41052992359"
"Malta","2003","2979.28095586039"
"Malta","2002","2707.48091404929"
"Malta","2001","2665.17144778351"
"Malta","2000","2545.52171918158"
"Malta","1999","2627.59417415594"
"Malta","1998","2545.13408682323"
"Malta","1997","2586.18766734247"
"Malta","1996","2578.44638570939"
"Malta","1995","2460.2689108789"
"Malta","1994","2669.72235318447"
"Malta","1993","2891.12550751473"
"Malta","1992","2314.9023423236"
"Malta","1991","2255.38870041539"
"Malta","1990","2408.46332514049"
"Monaco","2019","71.3419202640254"
"Monaco","2018","74.7243387570619"
"Monaco","2017","73.0142871412997"
"Monaco","2016","74.6284351968719"
"Monaco","2015","76.1193647399622"
"Monaco","2014","73.857291478771"
"Monaco","2013","78.7869228880165"
"Monaco","2012","78.0194831783564"
"Monaco","2011","74.9719868127828"
"Monaco","2010","77.7398430011901"
"Monaco","2009","79.2039210000583"
"Monaco","2008","82.3268425997708"
"Monaco","2007","82.7381075025311"
"Monaco","2006","83.9819927818742"
"Monaco","2005","89.8135227258089"
"Monaco","2004","91.8422473567672"
"Monaco","2003","97.0178017212114"
"Monaco","2002","99.7072248591371"
